name	min_sharpe	mean_sharpe	mean_ann_ret	mean_total_ret	lieflow_influence	coverage	composite	eligible
hybrid fb c0.00 s14 w0.2 e0.50-1.00	-0.4652	0.4891	0.0312	0.1164	0.3968	92.06%	-100.4652	False
hybrid fb c0.00 s14 w0.2 e0.75-1.00	-0.4652	0.4891	0.0312	0.1164	0.3968	92.06%	-100.4652	False
hybrid fb c0.00 s14 w0.3 e0.50-1.00	-0.4652	0.4891	0.0312	0.1164	0.3968	92.06%	-100.4652	False
hybrid fb c0.00 s14 w0.3 e0.75-1.00	-0.4652	0.4891	0.0312	0.1164	0.3968	92.06%	-100.4652	False
hybrid fb c0.00 s14 w0.4 e0.50-1.00	-0.4652	0.4891	0.0312	0.1164	0.3968	92.06%	-100.4652	False
hybrid fb c0.00 s14 w0.4 e0.75-1.00	-0.4652	0.4891	0.0312	0.1164	0.3968	92.06%	-100.4652	False
hybrid fb c0.00 s14 w0.5 e0.50-1.00	-0.4652	0.4891	0.0312	0.1164	0.3968	92.06%	-100.4652	False
hybrid fb c0.00 s14 w0.5 e0.75-1.00	-0.4652	0.4891	0.0312	0.1164	0.3968	92.06%	-100.4652	False
hybrid fb c0.00 s16 w0.2 e0.50-1.00	-0.4618	0.4880	0.0306	0.1151	0.3968	92.06%	-100.4618	False
hybrid fb c0.00 s16 w0.2 e0.75-1.00	-0.4618	0.4880	0.0306	0.1151	0.3968	92.06%	-100.4618	False
hybrid fb c0.00 s16 w0.3 e0.50-1.00	-0.4618	0.4880	0.0306	0.1151	0.3968	92.06%	-100.4618	False
hybrid fb c0.00 s16 w0.3 e0.75-1.00	-0.4618	0.4880	0.0306	0.1151	0.3968	92.06%	-100.4618	False
hybrid fb c0.00 s16 w0.4 e0.50-1.00	-0.4618	0.4880	0.0306	0.1151	0.3968	92.06%	-100.4618	False
hybrid fb c0.00 s16 w0.4 e0.75-1.00	-0.4618	0.4880	0.0306	0.1151	0.3968	92.06%	-100.4618	False
hybrid fb c0.00 s16 w0.5 e0.50-1.00	-0.4618	0.4880	0.0306	0.1151	0.3968	92.06%	-100.4618	False
hybrid fb c0.00 s16 w0.5 e0.75-1.00	-0.4618	0.4880	0.0306	0.1151	0.3968	92.06%	-100.4618	False
hybrid fb c0.00 s18 w0.2 e0.50-1.00	-0.4756	0.4837	0.0302	0.1139	0.3968	92.06%	-100.4756	False
hybrid fb c0.00 s18 w0.2 e0.75-1.00	-0.4756	0.4837	0.0302	0.1139	0.3968	92.06%	-100.4756	False
hybrid fb c0.00 s18 w0.3 e0.50-1.00	-0.4756	0.4837	0.0302	0.1139	0.3968	92.06%	-100.4756	False
hybrid fb c0.00 s18 w0.3 e0.75-1.00	-0.4756	0.4837	0.0302	0.1139	0.3968	92.06%	-100.4756	False
hybrid fb c0.00 s18 w0.4 e0.50-1.00	-0.4756	0.4837	0.0302	0.1139	0.3968	92.06%	-100.4756	False
hybrid fb c0.00 s18 w0.4 e0.75-1.00	-0.4756	0.4837	0.0302	0.1139	0.3968	92.06%	-100.4756	False
hybrid fb c0.00 s18 w0.5 e0.50-1.00	-0.4756	0.4837	0.0302	0.1139	0.3968	92.06%	-100.4756	False
hybrid fb c0.00 s18 w0.5 e0.75-1.00	-0.4756	0.4837	0.0302	0.1139	0.3968	92.06%	-100.4756	False
hybrid fb c0.00 s20 w0.2 e0.50-1.00	-0.4801	0.4672	0.0287	0.1102	0.3968	92.06%	-100.4801	False
hybrid fb c0.00 s20 w0.2 e0.75-1.00	-0.4801	0.4672	0.0287	0.1102	0.3968	92.06%	-100.4801	False
hybrid fb c0.00 s20 w0.3 e0.50-1.00	-0.4801	0.4672	0.0287	0.1102	0.3968	92.06%	-100.4801	False
hybrid fb c0.00 s20 w0.3 e0.75-1.00	-0.4801	0.4672	0.0287	0.1102	0.3968	92.06%	-100.4801	False
hybrid fb c0.00 s20 w0.4 e0.50-1.00	-0.4801	0.4672	0.0287	0.1102	0.3968	92.06%	-100.4801	False
hybrid fb c0.00 s20 w0.4 e0.75-1.00	-0.4801	0.4672	0.0287	0.1102	0.3968	92.06%	-100.4801	False
hybrid fb c0.00 s20 w0.5 e0.50-1.00	-0.4801	0.4672	0.0287	0.1102	0.3968	92.06%	-100.4801	False
