name	min_sharpe	mean_return	gap	meets_target
hybrid c0.990 s21 w0.4 cost10	0.2675	0.1738	0.2387	False
hybrid c0.990 s21 w0.5 cost5	0.3151	0.1889	0.1849	False
hybrid c0.990 s21 w0.5 cost10	0.2675	0.1738	0.2387	False
hybrid c0.990 s21 w0.6 cost5	0.3151	0.1889	0.1849	False
hybrid c0.990 s21 w0.6 cost10	0.2675	0.1738	0.2387	False
hybrid c0.990 s21 w0.7 cost5	0.3151	0.1889	0.1849	False
hybrid c0.990 s21 w0.7 cost10	0.2675	0.1738	0.2387	False
hybrid c0.990 s22 w0.3 cost5	0.3177	0.1866	0.1823	False
hybrid c0.990 s22 w0.3 cost10	0.2726	0.1722	0.2353	False
hybrid c0.990 s22 w0.4 cost5	0.3177	0.1866	0.1823	False
hybrid c0.990 s22 w0.4 cost10	0.2726	0.1722	0.2353	False
hybrid c0.990 s22 w0.5 cost5	0.3177	0.1866	0.1823	False
hybrid c0.990 s22 w0.5 cost10	0.2726	0.1722	0.2353	False
hybrid c0.990 s22 w0.6 cost5	0.3177	0.1866	0.1823	False
hybrid c0.990 s22 w0.6 cost10	0.2726	0.1722	0.2353	False
hybrid c0.990 s22 w0.7 cost5	0.3177	0.1866	0.1823	False
hybrid c0.990 s22 w0.7 cost10	0.2726	0.1722	0.2353	False
hybrid c1.000 s12 w0.3 cost5	0.4741	0.1868	0.0259	False
hybrid c1.000 s12 w0.3 cost10	0.3976	0.1643	0.1180	False
hybrid c1.000 s12 w0.4 cost5	0.4741	0.1868	0.0259	False
hybrid c1.000 s12 w0.4 cost10	0.3976	0.1643	0.1180	False
hybrid c1.000 s12 w0.5 cost5	0.4741	0.1868	0.0259	False
hybrid c1.000 s12 w0.5 cost10	0.3976	0.1643	0.1180	False
hybrid c1.000 s12 w0.6 cost5	0.4741	0.1868	0.0259	False
hybrid c1.000 s12 w0.6 cost10	0.3976	0.1643	0.1180	False
hybrid c1.000 s12 w0.7 cost5	0.4741	0.1868	0.0259	False
hybrid c1.000 s12 w0.7 cost10	0.3976	0.1643	0.1180	False
hybrid c1.000 s14 w0.3 cost5	0.4497	0.1869	0.0503	False
hybrid c1.000 s14 w0.3 cost10	0.3811	0.1665	0.1324	False
hybrid c1.000 s14 w0.4 cost5	0.4497	0.1869	0.0503	False
hybrid c1.000 s14 w0.4 cost10	0.3811	0.1665	0.1324	False
hybrid c1.000 s14 w0.5 cost5	0.4497	0.1869	0.0503	False
hybrid c1.000 s14 w0.5 cost10	0.3811	0.1665	0.1324	False
hybrid c1.000 s14 w0.6 cost5	0.4497	0.1869	0.0503	False
hybrid c1.000 s14 w0.6 cost10	0.3811	0.1665	0.1324	False
hybrid c1.000 s14 w0.7 cost5	0.4497	0.1869	0.0503	False
hybrid c1.000 s14 w0.7 cost10	0.3811	0.1665	0.1324	False
hybrid c1.000 s15 w0.3 cost5	0.4233	0.1862	0.0767	False
hybrid c1.000 s15 w0.3 cost10	0.3584	0.1667	0.1549	False
hybrid c1.000 s15 w0.4 cost5	0.4233	0.1862	0.0767	False
hybrid c1.000 s15 w0.4 cost10	0.3584	0.1667	0.1549	False
hybrid c1.000 s15 w0.5 cost5	0.4233	0.1862	0.0767	False
hybrid c1.000 s15 w0.5 cost10	0.3584	0.1667	0.1549	False
hybrid c1.000 s15 w0.6 cost5	0.4233	0.1862	0.0767	False
hybrid c1.000 s15 w0.6 cost10	0.3584	0.1667	0.1549	False
hybrid c1.000 s15 w0.7 cost5	0.4233	0.1862	0.0767	False
hybrid c1.000 s15 w0.7 cost10	0.3584	0.1667	0.1549	False
hybrid c1.000 s16 w0.3 cost5	0.4105	0.1881	0.0895	False
hybrid c1.000 s16 w0.3 cost10	0.3491	0.1694	0.1615	False
hybrid c1.000 s16 w0.4 cost5	0.4105	0.1881	0.0895	False
hybrid c1.000 s16 w0.4 cost10	0.3491	0.1694	0.1615	False
hybrid c1.000 s16 w0.5 cost5	0.4105	0.1881	0.0895	False
hybrid c1.000 s16 w0.5 cost10	0.3491	0.1694	0.1615	False
hybrid c1.000 s16 w0.6 cost5	0.4105	0.1881	0.0895	False
hybrid c1.000 s16 w0.6 cost10	0.3491	0.1694	0.1615	False
hybrid c1.000 s16 w0.7 cost5	0.4105	0.1881	0.0895	False
hybrid c1.000 s16 w0.7 cost10	0.3491	0.1694	0.1615	False
hybrid c1.000 s17 w0.3 cost5	0.3931	0.1899	0.1069	False
hybrid c1.000 s17 w0.3 cost10	0.3350	0.1720	0.1730	False
hybrid c1.000 s17 w0.4 cost5	0.3931	0.1899	0.1069	False
hybrid c1.000 s17 w0.4 cost10	0.3350	0.1720	0.1730	False
hybrid c1.000 s17 w0.5 cost5	0.3931	0.1899	0.1069	False
hybrid c1.000 s17 w0.5 cost10	0.3350	0.1720	0.1730	False
hybrid c1.000 s17 w0.6 cost5	0.3931	0.1899	0.1069	False
hybrid c1.000 s17 w0.6 cost10	0.3350	0.1720	0.1730	False
hybrid c1.000 s17 w0.7 cost5	0.3931	0.1899	0.1069	False
hybrid c1.000 s17 w0.7 cost10	0.3350	0.1720	0.1730	False
hybrid c1.000 s18 w0.3 cost5	0.3861	0.1905	0.1139	False
hybrid c1.000 s18 w0.3 cost10	0.3307	0.1733	0.1760	False
hybrid c1.000 s18 w0.4 cost5	0.3861	0.1905	0.1139	False
hybrid c1.000 s18 w0.4 cost10	0.3307	0.1733	0.1760	False
hybrid c1.000 s18 w0.5 cost5	0.3861	0.1905	0.1139	False
hybrid c1.000 s18 w0.5 cost10	0.3307	0.1733	0.1760	False
hybrid c1.000 s18 w0.6 cost5	0.3861	0.1905	0.1139	False
hybrid c1.000 s18 w0.6 cost10	0.3307	0.1733	0.1760	False
hybrid c1.000 s18 w0.7 cost5	0.3861	0.1905	0.1139	False
hybrid c1.000 s18 w0.7 cost10	0.3307	0.1733	0.1760	False
hybrid c1.000 s19 w0.3 cost5	0.3538	0.1907	0.1462	False
hybrid c1.000 s19 w0.3 cost10	0.3013	0.1743	0.2044	False
hybrid c1.000 s19 w0.4 cost5	0.3538	0.1907	0.1462	False
hybrid c1.000 s19 w0.4 cost10	0.3013	0.1743	0.2044	False
hybrid c1.000 s19 w0.5 cost5	0.3538	0.1907	0.1462	False
hybrid c1.000 s19 w0.5 cost10	0.3013	0.1743	0.2044	False
hybrid c1.000 s19 w0.6 cost5	0.3538	0.1907	0.1462	False
hybrid c1.000 s19 w0.6 cost10	0.3013	0.1743	0.2044	False
hybrid c1.000 s19 w0.7 cost5	0.3538	0.1907	0.1462	False
hybrid c1.000 s19 w0.7 cost10	0.3013	0.1743	0.2044	False
hybrid c1.000 s20 w0.3 cost5	0.3310	0.1887	0.1690	False
hybrid c1.000 s20 w0.3 cost10	0.2811	0.1730	0.2258	False
hybrid c1.000 s20 w0.4 cost5	0.3310	0.1887	0.1690	False
hybrid c1.000 s20 w0.4 cost10	0.2811	0.1730	0.2258	False
hybrid c1.000 s20 w0.5 cost5	0.3310	0.1887	0.1690	False
hybrid c1.000 s20 w0.5 cost10	0.2811	0.1730	0.2258	False
hybrid c1.000 s20 w0.6 cost5	0.3310	0.1887	0.1690	False
hybrid c1.000 s20 w0.6 cost10	0.2811	0.1730	0.2258	False
hybrid c1.000 s20 w0.7 cost5	0.3310	0.1887	0.1690	False
hybrid c1.000 s20 w0.7 cost10	0.2811	0.1730	0.2258	False
hybrid c1.000 s21 w0.3 cost5	0.3151	0.1889	0.1849	False
hybrid c1.000 s21 w0.3 cost10	0.2675	0.1738	0.2387	False
hybrid c1.000 s21 w0.4 cost5	0.3151	0.1889	0.1849	False
hybrid c1.000 s21 w0.4 cost10	0.2675	0.1738	0.2387	False
hybrid c1.000 s21 w0.5 cost5	0.3151	0.1889	0.1849	False
