name	min_sharpe	mean_sharpe	mean_return	coverage	meets_target
hybrid c0.00 s18 w0.2 c5	0.5557	0.6182	0.0956	12.06%	False
hybrid c0.00 s18 w0.2 c10	0.0045	0.0050	-0.0043	12.06%	False
hybrid c0.00 s18 w0.3 c5	0.5557	0.6182	0.0956	12.06%	False
hybrid c0.00 s18 w0.3 c10	0.0045	0.0050	-0.0043	12.06%	False
hybrid c0.00 s18 w0.4 c5	0.5557	0.6182	0.0956	12.06%	False
hybrid c0.00 s18 w0.4 c10	0.0045	0.0050	-0.0043	12.06%	False
hybrid c0.00 s18 w0.5 c5	0.5557	0.6182	0.0956	12.06%	False
hybrid c0.00 s18 w0.5 c10	0.0045	0.0050	-0.0043	12.06%	False
hybrid c0.00 s20 w0.1 c5	0.5193	0.5777	0.0895	12.06%	False
hybrid c0.00 s20 w0.1 c10	-0.0299	-0.0271	-0.0094	12.06%	False
hybrid c0.00 s20 w0.2 c5	0.5193	0.5777	0.0895	12.06%	False
hybrid c0.00 s20 w0.2 c10	-0.0299	-0.0271	-0.0094	12.06%	False
hybrid c0.00 s20 w0.3 c5	0.5193	0.5777	0.0895	12.06%	False
hybrid c0.00 s20 w0.3 c10	-0.0299	-0.0271	-0.0094	12.06%	False
hybrid c0.00 s20 w0.4 c5	0.5193	0.5777	0.0895	12.06%	False
hybrid c0.00 s20 w0.4 c10	-0.0299	-0.0271	-0.0094	12.06%	False
hybrid c0.00 s20 w0.5 c5	0.5193	0.5777	0.0895	12.06%	False
hybrid c0.00 s20 w0.5 c10	-0.0299	-0.0271	-0.0094	12.06%	False
hybrid c0.00 s22 w0.1 c5	0.4915	0.5468	0.0851	12.06%	False
hybrid c0.00 s22 w0.1 c10	-0.0554	-0.0503	-0.0132	12.06%	False
hybrid c0.00 s22 w0.2 c5	0.4915	0.5468	0.0851	12.06%	False
hybrid c0.00 s22 w0.2 c10	-0.0554	-0.0503	-0.0132	12.06%	False
hybrid c0.00 s22 w0.3 c5	0.4915	0.5468	0.0851	12.06%	False
hybrid c0.00 s22 w0.3 c10	-0.0554	-0.0503	-0.0132	12.06%	False
hybrid c0.00 s22 w0.4 c5	0.4915	0.5468	0.0851	12.06%	False
hybrid c0.00 s22 w0.4 c10	-0.0554	-0.0503	-0.0132	12.06%	False
hybrid c0.00 s22 w0.5 c5	0.4915	0.5468	0.0851	12.06%	False
hybrid c0.00 s22 w0.5 c10	-0.0554	-0.0503	-0.0132	12.06%	False
hybrid c0.00 s25 w0.1 c5	0.4767	0.5304	0.0836	12.06%	False
hybrid c0.00 s25 w0.1 c10	-0.0591	-0.0536	-0.0140	12.06%	False
hybrid c0.00 s25 w0.2 c5	0.4767	0.5304	0.0836	12.06%	False
hybrid c0.00 s25 w0.2 c10	-0.0591	-0.0536	-0.0140	12.06%	False
hybrid c0.00 s25 w0.3 c5	0.4767	0.5304	0.0836	12.06%	False
hybrid c0.00 s25 w0.3 c10	-0.0591	-0.0536	-0.0140	12.06%	False
hybrid c0.00 s25 w0.4 c5	0.4767	0.5304	0.0836	12.06%	False
hybrid c0.00 s25 w0.4 c10	-0.0591	-0.0536	-0.0140	12.06%	False
hybrid c0.00 s25 w0.5 c5	0.4767	0.5304	0.0836	12.06%	False
hybrid c0.00 s25 w0.5 c10	-0.0591	-0.0536	-0.0140	12.06%	False
hybrid c0.50 s10 w0.1 c5	1.3878	1.5454	0.3213	19.92%	True
hybrid c0.50 s10 w0.1 c10	1.3103	1.4589	0.3003	19.92%	True
hybrid c0.50 s10 w0.2 c5	1.3766	1.5329	0.3157	19.92%	True
hybrid c0.50 s10 w0.2 c10	1.2921	1.4386	0.2930	19.92%	True
hybrid c0.50 s10 w0.3 c5	1.3638	1.5186	0.3097	19.92%	True
hybrid c0.50 s10 w0.3 c10	1.2708	1.4149	0.2851	19.92%	True
hybrid c0.50 s10 w0.4 c5	1.3497	1.5028	0.3036	19.92%	True
hybrid c0.50 s10 w0.4 c10	1.2472	1.3885	0.2768	19.92%	True
hybrid c0.50 s10 w0.5 c5	1.3345	1.4859	0.2973	19.92%	True
hybrid c0.50 s10 w0.5 c10	1.2218	1.3602	0.2682	19.92%	True
hybrid c0.50 s12 w0.1 c5	1.3886	1.5463	0.3246	19.92%	True
hybrid c0.50 s12 w0.1 c10	1.3171	1.4665	0.3049	19.92%	True
hybrid c0.50 s12 w0.2 c5	1.3773	1.5336	0.3188	19.92%	True
hybrid c0.50 s12 w0.2 c10	1.2984	1.4457	0.2974	19.92%	True
hybrid c0.50 s12 w0.3 c5	1.3643	1.5192	0.3128	19.92%	True
hybrid c0.50 s12 w0.3 c10	1.2769	1.4217	0.2894	19.92%	True
hybrid c0.50 s12 w0.4 c5	1.3501	1.5033	0.3065	19.92%	True
hybrid c0.50 s12 w0.4 c10	1.2530	1.3950	0.2809	19.92%	True
hybrid c0.50 s12 w0.5 c5	1.3348	1.4862	0.3001	19.92%	True
hybrid c0.50 s12 w0.5 c10	1.2274	1.3665	0.2721	19.92%	True
hybrid c0.50 s14 w0.1 c5	1.3960	1.5545	0.3291	19.92%	True
hybrid c0.50 s14 w0.1 c10	1.3293	1.4801	0.3106	19.92%	True
hybrid c0.50 s14 w0.2 c5	1.3844	1.5416	0.3232	19.92%	True
hybrid c0.50 s14 w0.2 c10	1.3104	1.4590	0.3029	19.92%	True
hybrid c0.50 s14 w0.3 c5	1.3713	1.5270	0.3170	19.92%	True
hybrid c0.50 s14 w0.3 c10	1.2886	1.4347	0.2947	19.92%	True
hybrid c0.50 s14 w0.4 c5	1.3568	1.5108	0.3106	19.92%	True
hybrid c0.50 s14 w0.4 c10	1.2644	1.4077	0.2860	19.92%	True
hybrid c0.50 s14 w0.5 c5	1.3414	1.4936	0.3041	19.92%	True
hybrid c0.50 s14 w0.5 c10	1.2385	1.3789	0.2770	19.92%	True
hybrid c0.50 s16 w0.1 c5	1.4194	1.5807	0.3375	19.92%	True
hybrid c0.50 s16 w0.1 c10	1.3568	1.5107	0.3199	19.92%	True
hybrid c0.50 s16 w0.2 c5	1.4075	1.5674	0.3314	19.92%	True
hybrid c0.50 s16 w0.2 c10	1.3373	1.4891	0.3120	19.92%	True
hybrid c0.50 s16 w0.3 c5	1.3941	1.5525	0.3250	19.92%	True
hybrid c0.50 s16 w0.3 c10	1.3153	1.4645	0.3035	19.92%	True
hybrid c0.50 s16 w0.4 c5	1.3794	1.5361	0.3184	19.92%	True
hybrid c0.50 s16 w0.4 c10	1.2908	1.4372	0.2945	19.92%	True
hybrid c0.50 s16 w0.5 c5	1.3638	1.5186	0.3117	19.92%	True
hybrid c0.50 s16 w0.5 c10	1.2647	1.4081	0.2854	19.92%	True
hybrid c0.50 s18 w0.1 c5	1.4207	1.5821	0.3406	19.92%	True
hybrid c0.50 s18 w0.1 c10	1.3625	1.5171	0.3241	19.92%	True
hybrid c0.50 s18 w0.2 c5	1.4081	1.5680	0.3343	19.92%	True
hybrid c0.50 s18 w0.2 c10	1.3422	1.4945	0.3159	19.92%	True
hybrid c0.50 s18 w0.3 c5	1.3941	1.5524	0.3277	19.92%	True
hybrid c0.50 s18 w0.3 c10	1.3194	1.4690	0.3071	19.92%	True
hybrid c0.50 s18 w0.4 c5	1.3789	1.5354	0.3209	19.92%	True
hybrid c0.50 s18 w0.4 c10	1.2943	1.4411	0.2979	19.92%	True
hybrid c0.50 s18 w0.5 c5	1.3627	1.5174	0.3140	19.92%	True
hybrid c0.50 s18 w0.5 c10	1.2678	1.4115	0.2885	19.92%	True
hybrid c0.50 s20 w0.1 c5	1.3909	1.5488	0.3356	19.92%	True
hybrid c0.50 s20 w0.1 c10	1.3365	1.4881	0.3200	19.92%	True
hybrid c0.50 s20 w0.2 c5	1.3777	1.5341	0.3291	19.92%	True
hybrid c0.50 s20 w0.2 c10	1.3155	1.4647	0.3116	19.92%	True
hybrid c0.50 s20 w0.3 c5	1.3631	1.5178	0.3223	19.92%	True
hybrid c0.50 s20 w0.3 c10	1.2919	1.4384	0.3026	19.92%	True
hybrid c0.50 s20 w0.4 c5	1.3473	1.5002	0.3154	19.92%	True
hybrid c0.50 s20 w0.4 c10	1.2663	1.4098	0.2933	19.92%	True
hybrid c0.50 s20 w0.5 c5	1.3306	1.4816	0.3084	19.92%	True
hybrid c0.50 s20 w0.5 c10	1.2393	1.3797	0.2838	19.92%	True
hybrid c0.50 s22 w0.1 c5	1.3549	1.5087	0.3286	19.92%	True
hybrid c0.50 s22 w0.1 c10	1.3043	1.4522	0.3141	19.92%	True
hybrid c0.50 s22 w0.2 c5	1.3413	1.4935	0.3221	19.92%	True
hybrid c0.50 s22 w0.2 c10	1.2826	1.4280	0.3055	19.92%	True
hybrid c0.50 s22 w0.3 c5	1.3263	1.4768	0.3153	19.92%	True
hybrid c0.50 s22 w0.3 c10	1.2585	1.4012	0.2964	19.92%	True
hybrid c0.50 s22 w0.4 c5	1.3102	1.4588	0.3083	19.92%	True
hybrid c0.50 s22 w0.4 c10	1.2325	1.3721	0.2870	19.92%	True
hybrid c0.50 s22 w0.5 c5	1.2932	1.4398	0.3013	19.92%	True
hybrid c0.50 s22 w0.5 c10	1.2051	1.3415	0.2774	19.92%	True
hybrid c0.50 s25 w0.1 c5	1.3388	1.4907	0.3297	19.92%	True
hybrid c0.50 s25 w0.1 c10	1.2928	1.4394	0.3163	19.92%	True
hybrid c0.50 s25 w0.2 c5	1.3247	1.4750	0.3230	19.92%	True
hybrid c0.50 s25 w0.2 c10	1.2706	1.4147	0.3074	19.92%	True
hybrid c0.50 s25 w0.3 c5	1.3093	1.4578	0.3160	19.92%	True
hybrid c0.50 s25 w0.3 c10	1.2462	1.3875	0.2982	19.92%	True
hybrid c0.50 s25 w0.4 c5	1.2929	1.4395	0.3089	19.92%	True
hybrid c0.50 s25 w0.4 c10	1.2199	1.3581	0.2886	19.92%	True
hybrid c0.50 s25 w0.5 c5	1.2756	1.4202	0.3017	19.92%	True
hybrid c0.50 s25 w0.5 c10	1.1923	1.3273	0.2788	19.92%	True
hybrid c0.80 s10 w0.1 c5	1.0341	1.1510	0.2124	16.35%	True
hybrid c0.80 s10 w0.1 c10	0.7066	0.7863	0.1388	16.35%	False
hybrid c0.80 s10 w0.2 c5	1.0302	1.1467	0.2108	16.35%	True
hybrid c0.80 s10 w0.2 c10	0.7006	0.7796	0.1370	16.35%	False
hybrid c0.80 s10 w0.3 c5	1.0260	1.1419	0.2090	16.35%	True
hybrid c0.80 s10 w0.3 c10	0.6939	0.7721	0.1350	16.35%	False
hybrid c0.80 s10 w0.4 c5	1.0212	1.1366	0.2072	16.35%	True
hybrid c0.80 s10 w0.4 c10	0.6863	0.7637	0.1329	16.35%	False
hybrid c0.80 s10 w0.5 c5	1.0161	1.1310	0.2052	16.35%	True
hybrid c0.80 s10 w0.5 c10	0.6781	0.7545	0.1307	16.35%	False
hybrid c0.80 s12 w0.1 c5	1.0370	1.1542	0.2152	16.35%	True
hybrid c0.80 s12 w0.1 c10	0.7164	0.7971	0.1422	16.35%	False
hybrid c0.80 s12 w0.2 c5	1.0332	1.1499	0.2135	16.35%	True
hybrid c0.80 s12 w0.2 c10	0.7103	0.7904	0.1404	16.35%	False
hybrid c0.80 s12 w0.3 c5	1.0290	1.1453	0.2117	16.35%	True
hybrid c0.80 s12 w0.3 c10	0.7037	0.7830	0.1384	16.35%	False
hybrid c0.80 s12 w0.4 c5	1.0243	1.1401	0.2099	16.35%	True
hybrid c0.80 s12 w0.4 c10	0.6961	0.7745	0.1363	16.35%	False
hybrid c0.80 s12 w0.5 c5	1.0194	1.1346	0.2080	16.35%	True
hybrid c0.80 s12 w0.5 c10	0.6880	0.7655	0.1340	16.35%	False
hybrid c0.80 s14 w0.1 c5	1.0384	1.1558	0.2171	16.35%	True
hybrid c0.80 s14 w0.1 c10	0.7233	0.8048	0.1447	16.35%	False
hybrid c0.80 s14 w0.2 c5	1.0346	1.1516	0.2154	16.35%	True
hybrid c0.80 s14 w0.2 c10	0.7172	0.7980	0.1429	16.35%	False
hybrid c0.80 s14 w0.3 c5	1.0306	1.1470	0.2136	16.35%	True
hybrid c0.80 s14 w0.3 c10	0.7106	0.7906	0.1409	16.35%	False
hybrid c0.80 s14 w0.4 c5	1.0260	1.1419	0.2117	16.35%	True
hybrid c0.80 s14 w0.4 c10	0.7030	0.7822	0.1387	16.35%	False
hybrid c0.80 s14 w0.5 c5	1.0211	1.1365	0.2098	16.35%	True
hybrid c0.80 s14 w0.5 c10	0.6950	0.7733	0.1365	16.35%	False
hybrid c0.80 s16 w0.1 c5	1.0593	1.1791	0.2232	16.35%	True
hybrid c0.80 s16 w0.1 c10	0.7486	0.8329	0.1512	16.35%	False
hybrid c0.80 s16 w0.2 c5	1.0555	1.1748	0.2214	16.35%	True
hybrid c0.80 s16 w0.2 c10	0.7425	0.8262	0.1493	16.35%	False
hybrid c0.80 s16 w0.3 c5	1.0514	1.1702	0.2196	16.35%	True
hybrid c0.80 s16 w0.3 c10	0.7358	0.8187	0.1472	16.35%	False
hybrid c0.80 s16 w0.4 c5	1.0467	1.1650	0.2177	16.35%	True
hybrid c0.80 s16 w0.4 c10	0.7281	0.8102	0.1450	16.35%	False
hybrid c0.80 s16 w0.5 c5	1.0417	1.1594	0.2157	16.35%	True
hybrid c0.80 s16 w0.5 c10	0.7199	0.8010	0.1427	16.35%	False
hybrid c0.80 s18 w0.1 c5	1.0488	1.1674	0.2223	16.35%	True
hybrid c0.80 s18 w0.1 c10	0.7439	0.8277	0.1512	16.35%	False
hybrid c0.80 s18 w0.2 c5	1.0448	1.1629	0.2205	16.35%	True
hybrid c0.80 s18 w0.2 c10	0.7374	0.8205	0.1492	16.35%	False
hybrid c0.80 s18 w0.3 c5	1.0405	1.1581	0.2186	16.35%	True
hybrid c0.80 s18 w0.3 c10	0.7304	0.8127	0.1470	16.35%	False
hybrid c0.80 s18 w0.4 c5	1.0357	1.1527	0.2167	16.35%	True
hybrid c0.80 s18 w0.4 c10	0.7226	0.8040	0.1448	16.35%	False
hybrid c0.80 s18 w0.5 c5	1.0306	1.1471	0.2147	16.35%	True
hybrid c0.80 s18 w0.5 c10	0.7142	0.7947	0.1424	16.35%	False
hybrid c0.80 s20 w0.1 c5	1.0077	1.1216	0.2145	16.35%	True
hybrid c0.80 s20 w0.1 c10	0.7084	0.7883	0.1444	16.35%	False
hybrid c0.80 s20 w0.2 c5	1.0035	1.1169	0.2126	16.35%	True
hybrid c0.80 s20 w0.2 c10	0.7017	0.7807	0.1424	16.35%	False
hybrid c0.80 s20 w0.3 c5	0.9990	1.1118	0.2108	16.35%	False
hybrid c0.80 s20 w0.3 c10	0.6944	0.7726	0.1402	16.35%	False
hybrid c0.80 s20 w0.4 c5	0.9940	1.1063	0.2088	16.35%	False
hybrid c0.80 s20 w0.4 c10	0.6864	0.7637	0.1379	16.35%	False
hybrid c0.80 s20 w0.5 c5	0.9888	1.1005	0.2068	16.35%	False
hybrid c0.80 s20 w0.5 c10	0.6778	0.7542	0.1355	16.35%	False
hybrid c0.80 s22 w0.1 c5	0.9646	1.0735	0.2060	16.35%	False
hybrid c0.80 s22 w0.1 c10	0.6707	0.7463	0.1371	16.35%	False
hybrid c0.80 s22 w0.2 c5	0.9604	1.0688	0.2043	16.35%	False
hybrid c0.80 s22 w0.2 c10	0.6639	0.7387	0.1351	16.35%	False
hybrid c0.80 s22 w0.3 c5	0.9559	1.0638	0.2024	16.35%	False
hybrid c0.80 s22 w0.3 c10	0.6565	0.7305	0.1329	16.35%	False
hybrid c0.80 s22 w0.4 c5	0.9510	1.0584	0.2005	16.35%	False
hybrid c0.80 s22 w0.4 c10	0.6485	0.7215	0.1306	16.35%	False
hybrid c0.80 s22 w0.5 c5	0.9459	1.0527	0.1986	16.35%	False
hybrid c0.80 s22 w0.5 c10	0.6400	0.7121	0.1283	16.35%	False
hybrid c0.80 s25 w0.1 c5	0.9350	1.0405	0.2023	16.35%	False
hybrid c0.80 s25 w0.1 c10	0.6490	0.7221	0.1343	16.35%	False
hybrid c0.80 s25 w0.2 c5	0.9308	1.0359	0.2006	16.35%	False
hybrid c0.80 s25 w0.2 c10	0.6423	0.7146	0.1323	16.35%	False
hybrid c0.80 s25 w0.3 c5	0.9264	1.0310	0.1988	16.35%	False
hybrid c0.80 s25 w0.3 c10	0.6351	0.7066	0.1302	16.35%	False
hybrid c0.80 s25 w0.4 c5	0.9217	1.0257	0.1969	16.35%	False
hybrid c0.80 s25 w0.4 c10	0.6272	0.6978	0.1279	16.35%	False
hybrid c0.80 s25 w0.5 c5	0.9167	1.0201	0.1950	16.35%	False
hybrid c0.80 s25 w0.5 c10	0.6189	0.6886	0.1256	16.35%	False
hybrid c0.90 s10 w0.1 c5	0.4919	0.5472	0.0828	12.59%	False
hybrid c0.90 s10 w0.1 c10	-0.0729	-0.0662	-0.0151	12.59%	False
hybrid c0.90 s10 w0.2 c5	0.4923	0.5477	0.0829	12.59%	False
hybrid c0.90 s10 w0.2 c10	-0.0725	-0.0659	-0.0151	12.59%	False
hybrid c0.90 s10 w0.3 c5	0.4927	0.5482	0.0829	12.59%	False
hybrid c0.90 s10 w0.3 c10	-0.0721	-0.0655	-0.0150	12.59%	False
hybrid c0.90 s10 w0.4 c5	0.4931	0.5486	0.0830	12.59%	False
hybrid c0.90 s10 w0.4 c10	-0.0717	-0.0651	-0.0149	12.59%	False
hybrid c0.90 s10 w0.5 c5	0.4936	0.5491	0.0830	12.59%	False
hybrid c0.90 s10 w0.5 c10	-0.0713	-0.0648	-0.0149	12.59%	False
hybrid c0.90 s12 w0.1 c5	0.5046	0.5614	0.0858	12.59%	False
hybrid c0.90 s12 w0.1 c10	-0.0480	-0.0436	-0.0118	12.59%	False
hybrid c0.90 s12 w0.2 c5	0.5050	0.5618	0.0859	12.59%	False
hybrid c0.90 s12 w0.2 c10	-0.0476	-0.0432	-0.0117	12.59%	False
hybrid c0.90 s12 w0.3 c5	0.5054	0.5623	0.0860	12.59%	False
hybrid c0.90 s12 w0.3 c10	-0.0472	-0.0428	-0.0117	12.59%	False
hybrid c0.90 s12 w0.4 c5	0.5059	0.5628	0.0860	12.59%	False
hybrid c0.90 s12 w0.4 c10	-0.0467	-0.0425	-0.0116	12.59%	False
hybrid c0.90 s12 w0.5 c5	0.5063	0.5633	0.0861	12.59%	False
hybrid c0.90 s12 w0.5 c10	-0.0464	-0.0421	-0.0115	12.59%	False
hybrid c0.90 s14 w0.1 c5	0.5137	0.5715	0.0881	12.59%	False
hybrid c0.90 s14 w0.1 c10	-0.0297	-0.0270	-0.0093	12.59%	False
hybrid c0.90 s14 w0.2 c5	0.5141	0.5720	0.0882	12.59%	False
hybrid c0.90 s14 w0.2 c10	-0.0293	-0.0266	-0.0093	12.59%	False
hybrid c0.90 s14 w0.3 c5	0.5146	0.5725	0.0882	12.59%	False
hybrid c0.90 s14 w0.3 c10	-0.0289	-0.0262	-0.0092	12.59%	False
hybrid c0.90 s14 w0.4 c5	0.5150	0.5730	0.0883	12.59%	False
hybrid c0.90 s14 w0.4 c10	-0.0285	-0.0259	-0.0091	12.59%	False
hybrid c0.90 s14 w0.5 c5	0.5154	0.5734	0.0884	12.59%	False
hybrid c0.90 s14 w0.5 c10	-0.0281	-0.0255	-0.0091	12.59%	False
hybrid c0.90 s16 w0.1 c5	0.5265	0.5858	0.0909	12.59%	False
hybrid c0.90 s16 w0.1 c10	-0.0081	-0.0074	-0.0063	12.59%	False
hybrid c0.90 s16 w0.2 c5	0.5269	0.5862	0.0910	12.59%	False
hybrid c0.90 s16 w0.2 c10	-0.0078	-0.0070	-0.0063	12.59%	False
hybrid c0.90 s16 w0.3 c5	0.5273	0.5867	0.0910	12.59%	False
hybrid c0.90 s16 w0.3 c10	-0.0074	-0.0067	-0.0062	12.59%	False
hybrid c0.90 s16 w0.4 c5	0.5277	0.5871	0.0911	12.59%	False
hybrid c0.90 s16 w0.4 c10	-0.0070	-0.0064	-0.0061	12.59%	False
hybrid c0.90 s16 w0.5 c5	0.5282	0.5876	0.0912	12.59%	False
hybrid c0.90 s16 w0.5 c10	-0.0067	-0.0060	-0.0061	12.59%	False
hybrid c0.90 s18 w0.1 c5	0.5095	0.5669	0.0882	12.59%	False
hybrid c0.90 s18 w0.1 c10	-0.0216	-0.0196	-0.0083	12.59%	False
hybrid c0.90 s18 w0.2 c5	0.5100	0.5674	0.0883	12.59%	False
hybrid c0.90 s18 w0.2 c10	-0.0211	-0.0192	-0.0082	12.59%	False
hybrid c0.90 s18 w0.3 c5	0.5105	0.5679	0.0884	12.59%	False
hybrid c0.90 s18 w0.3 c10	-0.0207	-0.0188	-0.0082	12.59%	False
hybrid c0.90 s18 w0.4 c5	0.5109	0.5684	0.0885	12.59%	False
hybrid c0.90 s18 w0.4 c10	-0.0203	-0.0184	-0.0081	12.59%	False
hybrid c0.90 s18 w0.5 c5	0.5114	0.5689	0.0885	12.59%	False
hybrid c0.90 s18 w0.5 c10	-0.0199	-0.0181	-0.0081	12.59%	False
hybrid c0.90 s20 w0.1 c5	0.4668	0.5193	0.0808	12.59%	False
hybrid c0.90 s20 w0.1 c10	-0.0647	-0.0588	-0.0147	12.59%	False
hybrid c0.90 s20 w0.2 c5	0.4673	0.5199	0.0809	12.59%	False
hybrid c0.90 s20 w0.2 c10	-0.0643	-0.0584	-0.0146	12.59%	False
hybrid c0.90 s20 w0.3 c5	0.4678	0.5204	0.0810	12.59%	False
hybrid c0.90 s20 w0.3 c10	-0.0638	-0.0580	-0.0145	12.59%	False
hybrid c0.90 s20 w0.4 c5	0.4683	0.5210	0.0811	12.59%	False
hybrid c0.90 s20 w0.4 c10	-0.0634	-0.0576	-0.0145	12.59%	False
hybrid c0.90 s20 w0.5 c5	0.4688	0.5215	0.0811	12.59%	False
hybrid c0.90 s20 w0.5 c10	-0.0630	-0.0572	-0.0144	12.59%	False
hybrid c0.90 s22 w0.1 c5	0.4341	0.4829	0.0752	12.59%	False
hybrid c0.90 s22 w0.1 c10	-0.0968	-0.0880	-0.0195	12.59%	False
hybrid c0.90 s22 w0.2 c5	0.4346	0.4835	0.0753	12.59%	False
hybrid c0.90 s22 w0.2 c10	-0.0964	-0.0875	-0.0194	12.59%	False
hybrid c0.90 s22 w0.3 c5	0.4351	0.4841	0.0754	12.59%	False
hybrid c0.90 s22 w0.3 c10	-0.0959	-0.0871	-0.0193	12.59%	False
hybrid c0.90 s22 w0.4 c5	0.4356	0.4846	0.0755	12.59%	False
hybrid c0.90 s22 w0.4 c10	-0.0955	-0.0867	-0.0193	12.59%	False
hybrid c0.90 s22 w0.5 c5	0.4361	0.4852	0.0756	12.59%	False
hybrid c0.90 s22 w0.5 c10	-0.0950	-0.0863	-0.0192	12.59%	False
hybrid c0.90 s25 w0.1 c5	0.4157	0.4625	0.0729	12.59%	False
hybrid c0.90 s25 w0.1 c10	-0.1051	-0.0955	-0.0211	12.59%	False
hybrid c0.90 s25 w0.2 c5	0.4163	0.4631	0.0730	12.59%	False
hybrid c0.90 s25 w0.2 c10	-0.1046	-0.0950	-0.0211	12.59%	False
hybrid c0.90 s25 w0.3 c5	0.4168	0.4637	0.0731	12.59%	False
hybrid c0.90 s25 w0.3 c10	-0.1042	-0.0946	-0.0210	12.59%	False
hybrid c0.90 s25 w0.4 c5	0.4173	0.4643	0.0732	12.59%	False
hybrid c0.90 s25 w0.4 c10	-0.1037	-0.0942	-0.0209	12.59%	False
hybrid c0.90 s25 w0.5 c5	0.4179	0.4648	0.0733	12.59%	False
hybrid c0.90 s25 w0.5 c10	-0.1032	-0.0938	-0.0208	12.59%	False
hybrid c0.95 s10 w0.1 c5	0.5313	0.5911	0.0887	12.06%	False
hybrid c0.95 s10 w0.1 c10	-0.0542	-0.0493	-0.0122	12.06%	False
hybrid c0.95 s10 w0.2 c5	0.5313	0.5911	0.0887	12.06%	False
hybrid c0.95 s10 w0.2 c10	-0.0542	-0.0493	-0.0122	12.06%	False
hybrid c0.95 s10 w0.3 c5	0.5313	0.5911	0.0887	12.06%	False
hybrid c0.95 s10 w0.3 c10	-0.0542	-0.0493	-0.0122	12.06%	False
