name	min_sharpe	mean_sharpe	mean_return	coverage	meets_target
hybrid c0.00 s10 w0.1 c5	0.0000	0.5911	0.0296	12.06%	False
hybrid c0.00 s10 w0.1 c10	-0.0542	-0.0493	-0.0041	12.06%	False
hybrid c0.00 s10 w0.2 c5	0.0000	0.5911	0.0296	12.06%	False
hybrid c0.00 s10 w0.2 c10	-0.0542	-0.0493	-0.0041	12.06%	False
hybrid c0.00 s10 w0.3 c5	0.0000	0.5911	0.0296	12.06%	False
hybrid c0.00 s10 w0.3 c10	-0.0542	-0.0493	-0.0041	12.06%	False
hybrid c0.00 s10 w0.4 c5	0.0000	0.5911	0.0296	12.06%	False
hybrid c0.00 s10 w0.4 c10	-0.0542	-0.0493	-0.0041	12.06%	False
hybrid c0.00 s10 w0.5 c5	0.0000	0.5911	0.0296	12.06%	False
hybrid c0.00 s10 w0.5 c10	-0.0542	-0.0493	-0.0041	12.06%	False
hybrid c0.00 s12 w0.1 c5	0.0000	0.6053	0.0306	12.06%	False
hybrid c0.00 s12 w0.1 c10	-0.0290	-0.0264	-0.0030	12.06%	False
hybrid c0.00 s12 w0.2 c5	0.0000	0.6053	0.0306	12.06%	False
hybrid c0.00 s12 w0.2 c10	-0.0290	-0.0264	-0.0030	12.06%	False
hybrid c0.00 s12 w0.3 c5	0.0000	0.6053	0.0306	12.06%	False
hybrid c0.00 s12 w0.3 c10	-0.0290	-0.0264	-0.0030	12.06%	False
hybrid c0.00 s12 w0.4 c5	0.0000	0.6053	0.0306	12.06%	False
hybrid c0.00 s12 w0.4 c10	-0.0290	-0.0264	-0.0030	12.06%	False
hybrid c0.00 s12 w0.5 c5	0.0000	0.6053	0.0306	12.06%	False
hybrid c0.00 s12 w0.5 c10	-0.0290	-0.0264	-0.0030	12.06%	False
hybrid c0.00 s14 w0.1 c5	0.0000	0.6186	0.0316	12.06%	False
hybrid c0.00 s14 w0.1 c10	-0.0069	-0.0063	-0.0020	12.06%	False
hybrid c0.00 s14 w0.2 c5	0.0000	0.6186	0.0316	12.06%	False
hybrid c0.00 s14 w0.2 c10	-0.0069	-0.0063	-0.0020	12.06%	False
hybrid c0.00 s14 w0.3 c5	0.0000	0.6186	0.0316	12.06%	False
hybrid c0.00 s14 w0.3 c10	-0.0069	-0.0063	-0.0020	12.06%	False
hybrid c0.00 s14 w0.4 c5	0.0000	0.6186	0.0316	12.06%	False
hybrid c0.00 s14 w0.4 c10	-0.0069	-0.0063	-0.0020	12.06%	False
hybrid c0.00 s14 w0.5 c5	0.0000	0.6186	0.0316	12.06%	False
hybrid c0.00 s14 w0.5 c10	-0.0069	-0.0063	-0.0020	12.06%	False
hybrid c0.00 s16 w0.1 c5	0.0000	0.6299	0.0323	12.06%	False
hybrid c0.00 s16 w0.1 c10	0.0000	0.0099	-0.0011	12.06%	False
hybrid c0.00 s16 w0.2 c5	0.0000	0.6299	0.0323	12.06%	False
hybrid c0.00 s16 w0.2 c10	0.0000	0.0099	-0.0011	12.06%	False
hybrid c0.00 s16 w0.3 c5	0.0000	0.6299	0.0323	12.06%	False
hybrid c0.00 s16 w0.3 c10	0.0000	0.0099	-0.0011	12.06%	False
hybrid c0.00 s16 w0.4 c5	0.0000	0.6299	0.0323	12.06%	False
hybrid c0.00 s16 w0.4 c10	0.0000	0.0099	-0.0011	12.06%	False
hybrid c0.00 s16 w0.5 c5	0.0000	0.6299	0.0323	12.06%	False
hybrid c0.00 s16 w0.5 c10	0.0000	0.0099	-0.0011	12.06%	False
hybrid c0.00 s18 w0.1 c5	0.0000	0.6182	0.0319	12.06%	False
hybrid c0.00 s18 w0.1 c10	0.0000	0.0050	-0.0014	12.06%	False
hybrid c0.00 s18 w0.2 c5	0.0000	0.6182	0.0319	12.06%	False
hybrid c0.00 s18 w0.2 c10	0.0000	0.0050	-0.0014	12.06%	False
hybrid c0.00 s18 w0.3 c5	0.0000	0.6182	0.0319	12.06%	False
hybrid c0.00 s18 w0.3 c10	0.0000	0.0050	-0.0014	12.06%	False
hybrid c0.00 s18 w0.4 c5	0.0000	0.6182	0.0319	12.06%	False
hybrid c0.00 s18 w0.4 c10	0.0000	0.0050	-0.0014	12.06%	False
hybrid c0.00 s18 w0.5 c5	0.0000	0.6182	0.0319	12.06%	False
hybrid c0.00 s18 w0.5 c10	0.0000	0.0050	-0.0014	12.06%	False
hybrid c0.00 s20 w0.1 c5	0.0000	0.5777	0.0298	12.06%	False
hybrid c0.00 s20 w0.1 c10	-0.0299	-0.0271	-0.0031	12.06%	False
hybrid c0.00 s20 w0.2 c5	0.0000	0.5777	0.0298	12.06%	False
hybrid c0.00 s20 w0.2 c10	-0.0299	-0.0271	-0.0031	12.06%	False
hybrid c0.00 s20 w0.3 c5	0.0000	0.5777	0.0298	12.06%	False
hybrid c0.00 s20 w0.3 c10	-0.0299	-0.0271	-0.0031	12.06%	False
hybrid c0.00 s20 w0.4 c5	0.0000	0.5777	0.0298	12.06%	False
hybrid c0.00 s20 w0.4 c10	-0.0299	-0.0271	-0.0031	12.06%	False
hybrid c0.00 s20 w0.5 c5	0.0000	0.5777	0.0298	12.06%	False
hybrid c0.00 s20 w0.5 c10	-0.0299	-0.0271	-0.0031	12.06%	False
hybrid c0.00 s22 w0.1 c5	0.0000	0.5468	0.0284	12.06%	False
